id_entidad,entidad_norm,nit_entidad,departamento,ciudad,orden,sector
1,SENA REGIONAL ANTIOQUIA GRUPO DE APOYO ADMINISTRATIVO MIXTO,899999034,Antioquia,Medellín,Nacional,Trabajo
2,MUNICIPIO DE MONTEBELLO,890981115,Antioquia,Montebello,Territorial,No aplica/No pertenece
3,CAMARA DE REPRESENTANTES,899999098,Distrito Capital de Bogotá,No Definido,Nacional,No aplica/No pertenece
4,UNIATLANTICO,890102257,Atlántico,Puerto Colombia,Territorial,Educación Nacional
5,ALCALDIA MUNICIPIO DE RICAURTE,890680059,Cundinamarca,Ricaurte,Territorial,Servicio Público
6,UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS,900126860,Distrito Capital de Bogotá,Bogotá,Territorial,Ambiente y Desarrollo Sostenible
7,PERSONERIA DISTRITAL DE SANTIAGO DE CALI,805003895,Valle del Cauca,Cali,Territorial,No aplica/No pertenece
8,ALCALDIA MUNICIPAL DE FONSECA,892170008,La Guajira,Fonseca,Territorial,Servicio Público
9,SIC SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,800176089,Distrito Capital de Bogotá,Bogotá,Nacional,Industria
10,GOBERNACION DEL MAGDALENA,800103920,Magdalena,Santa Marta,Territorial,No aplica/No pertenece
11,CENTRO HOSPITAL NUESTRO SENOR DE LA DIVINA MISERICORDIA PUERRES E S E,814003370,Nariño,Puerres,Territorial,Salud y Protección Social
12,MUNICIPIO DE PIEDECUESTA,890205383,Santander,Piedecuesta,Territorial,No aplica/No pertenece
13,SENA SECRETARIA GENERAL,899999034,Distrito Capital de Bogotá,No Definido,Nacional,Trabajo
14,INSTITUCION UNIVERSITARIA ITM,800214750,Antioquia,Medellín,Nacional,Educación Nacional
15,AGENCIA NACIONAL DE HIDROCARBUROS,830127607,Distrito Capital de Bogotá,Bogotá,Nacional,Minas y Energía
16,SECRETARIA DISTRITAL DE GOBIERNO 1,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Servicio Público
17,DEPARTAMENTO DE CUNDINAMARCA SECRETARIA DE SALUD,899999114,Distrito Capital de Bogotá,Bogotá,Territorial,Salud y Protección Social
18,SENA REGIONAL NORTE DE SANTANDER GRUPO DE APOYO ADMINISTRATIVO MIXTO,899999034,Norte de Santander,Cúcuta,Nacional,Educación Nacional
19,MUNICIPIO DE SAN JOSE DE CUCUTA,890501434,Norte de Santander,Cúcuta,Territorial,Servicio Público
20,INDEPORTES TOLIMA,809005065,Tolima,Ibagué,Territorial,deportes
21,COLEGIO PORTAL CAMPESTRE NORTE DEL MUNICIPIO DE GIRON,901236129,Santander,Girón,Territorial,No aplica/No pertenece
22,INSTITUCION UNIVERSITARIA DE ENVIGADO,811000278,Antioquia,Envigado,Territorial,Educación Nacional
23,ALCALDIA DE CARACOLI,8909811077,Antioquia,Caracolí,Territorial,Servicio Público
24,UNIDAD PARA LAS VICTIMAS FONDO PARA LA REPARACION DE LAS VICTIMAS,900490473,Distrito Capital de Bogotá,Bogotá,Nacional,Inclusión Social y Reconciliación
25,MINISTERIO DE JUSTICIA Y DEL DERECHO,900457461,Distrito Capital de Bogotá,No Definido,Nacional,Ley de Justicia
26,SECRETARIA DISTRITAL DE CULTURA RECREACION Y DEPORTE,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Cultura
27,UNIDAD AESPE,900678508,Distrito Capital de Bogotá,No Definido,Nacional,Trabajo
28,ICBF REGIONAL BOGOTA,899999239,Distrito Capital de Bogotá,Bogotá,Nacional,Salud y Protección Social
29,SENA REGIONAL CESAR GRUPO DE APOYO ADMINISTRATIVO MIXTO,899999034,Cesar,No Definido,Nacional,Trabajo
30,ALCALDIA MUNICIPIO DE CRAVO NORTE,800014434,Arauca,Cravo Norte,Territorial,No aplica/No pertenece
31,MINVIVIENDA,900463725,No Definido,No Definido,Nacional,"Vivienda, Ciudad y Territorio"
32,UNIDAD CENTRAL DEL VALLE DEL CAUCA,891900853,Valle del Cauca,Tuluá,Territorial,Educación Nacional
